premise	hypothesis	entailment	reasoning_type	function_name	g_id
Robert is running. Emma is running.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Emma is running.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Emma is running.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Emma is running.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Emma is running.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Emma is running.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Emma is running.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. James is running.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. James is running.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. James is running.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. James is running.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. James is running.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. James is running.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. James is running.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. James is running.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Robert is running.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Robert is running.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Robert is running.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Robert is running.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Robert is running.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Robert is running.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Robert is running.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Robert is running.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Emma is running.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Emma is running.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Emma is running.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Emma is running.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Emma is running.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Emma is running.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Emma is running.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Emma is running.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. James is running.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. James is running.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. James is running.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. James is running.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. James is running.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. James is running.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. James is running.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. James is running.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Robert is running.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Robert is running.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Robert is running.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Robert is running.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Robert is running.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Robert is running.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Robert is running.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Robert is running.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Sophia is running.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Sophia is running.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Sophia is running.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Sophia is running.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Sophia is running.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Sophia is running.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Sophia is running.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Sophia is running.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Robert is hiking.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Robert is hiking.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Robert is hiking.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Robert is hiking.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Robert is hiking.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Robert is hiking.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Robert is hiking.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Robert is hiking.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Sophia is hiking.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Sophia is hiking.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Sophia is hiking.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Sophia is hiking.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Sophia is hiking.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Sophia is hiking.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Sophia is hiking.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Sophia is hiking.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Emma is hiking.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Emma is hiking.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Emma is hiking.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Emma is hiking.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Emma is hiking.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Emma is hiking.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Emma is hiking.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Emma is hiking.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. James is hiking.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. James is hiking.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. James is hiking.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. James is hiking.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. James is hiking.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. James is hiking.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. James is hiking.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. James is hiking.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Sophia is hiking.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Sophia is hiking.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Sophia is hiking.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Sophia is hiking.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Sophia is hiking.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Sophia is hiking.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Sophia is hiking.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Sophia is hiking.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Emma is hiking.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Emma is hiking.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Emma is hiking.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Emma is hiking.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Emma is hiking.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Emma is hiking.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Emma is hiking.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Emma is hiking.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. James is hiking.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. James is hiking.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. James is hiking.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. James is hiking.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. James is hiking.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. James is hiking.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. James is hiking.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. James is hiking.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Robert is hiking.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Robert is hiking.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Robert is hiking.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Robert is hiking.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Robert is hiking.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Robert is hiking.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Robert is hiking.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Robert is hiking.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Emma is hiking.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Emma is hiking.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Emma is hiking.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Emma is hiking.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Emma is hiking.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Emma is hiking.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Emma is hiking.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Emma is hiking.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. James is hiking.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. James is hiking.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. James is hiking.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. James is hiking.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. James is hiking.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. James is hiking.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. James is hiking.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. James is hiking.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Robert is hiking.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Robert is hiking.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Robert is hiking.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Robert is hiking.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Robert is hiking.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Robert is hiking.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Robert is hiking.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Robert is hiking.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Sophia is hiking.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Sophia is hiking.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Sophia is hiking.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Sophia is hiking.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Sophia is hiking.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Sophia is hiking.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Sophia is hiking.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Sophia is hiking.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Robert is cycling.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Robert is cycling.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Robert is cycling.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Robert is cycling.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Robert is cycling.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Robert is cycling.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Robert is cycling.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Robert is cycling.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Sophia is cycling.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Sophia is cycling.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Sophia is cycling.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Sophia is cycling.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Sophia is cycling.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Sophia is cycling.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Sophia is cycling.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Sophia is cycling.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Emma is cycling.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Emma is cycling.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Emma is cycling.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Emma is cycling.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Emma is cycling.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Emma is cycling.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is running. Emma is cycling.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is running. Emma is cycling.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. James is cycling.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. James is cycling.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. James is cycling.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. James is cycling.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. James is cycling.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. James is cycling.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. James is cycling.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. James is cycling.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Sophia is cycling.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Sophia is cycling.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Sophia is cycling.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Sophia is cycling.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Sophia is cycling.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Sophia is cycling.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Sophia is cycling.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Sophia is cycling.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Emma is cycling.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Emma is cycling.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Emma is cycling.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Emma is cycling.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Emma is cycling.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Emma is cycling.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Robert is running. Emma is cycling.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Robert is running. Emma is cycling.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. James is cycling.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. James is cycling.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. James is cycling.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. James is cycling.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. James is cycling.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. James is cycling.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. James is cycling.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. James is cycling.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Robert is cycling.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Robert is cycling.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Robert is cycling.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Robert is cycling.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Robert is cycling.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Robert is cycling.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Robert is cycling.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Robert is cycling.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Emma is cycling.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Emma is cycling.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Emma is cycling.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Emma is cycling.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Emma is cycling.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Emma is cycling.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Sophia is running. Emma is cycling.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Sophia is running. Emma is cycling.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. James is cycling.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. James is cycling.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. James is cycling.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. James is cycling.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. James is cycling.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. James is cycling.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. James is cycling.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. James is cycling.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Robert is cycling.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Robert is cycling.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Robert is cycling.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Robert is cycling.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Robert is cycling.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Robert is cycling.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Robert is cycling.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Robert is cycling.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Sophia is cycling.	Emma is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Sophia is cycling.	Emma is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Sophia is cycling.	Emma is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Sophia is cycling.	Emma is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Sophia is cycling.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Sophia is cycling.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
Emma is running. Sophia is cycling.	Sophia is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
Emma is running. Sophia is cycling.	Sophia is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is hiking. Robert is running.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is hiking. Robert is running.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is hiking. Robert is running.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is hiking. Robert is running.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is hiking. Robert is running.	Robert is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is hiking. Robert is running.	Robert is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is hiking. Robert is running.	Robert is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is hiking. Robert is running.	Robert is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is hiking. Sophia is running.	James is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is hiking. Sophia is running.	James is in motion.	entailment	motion	two_motion_two_hop_jerund	0
James is hiking. Sophia is running.	James is not in motion.	contradiction	motion	two_motion_two_hop_jerund	1
James is hiking. Sophia is running.	James is not moving.	contradiction	motion	two_motion_two_hop_jerund	1
James is hiking. Sophia is running.	Sophia is moving.	entailment	motion	two_motion_two_hop_jerund	0
James is hiking. Sophia is running.	Sophia is in motion.	entailment	motion	two_motion_two_hop_jerund	0
